emoji	signification
👴🏿	Homme âgé : Peau Foncée
👵	Femme âgée
👵🏻	Femme âgée : Peau Claire
👵🏼	Femme âgée : Peau Moyennement Claire
👵🏽	Femme âgée : Peau Légèrement Mate
👵🏾	Femme âgée : Peau Mate
👵🏿	Femme âgée : Peau Foncée
🙍	Personne Fronçant Les Sourcils
🙍🏻	Personne Fronçant Les Sourcils : Peau Claire
🙍🏼	Personne Fronçant Les Sourcils : Peau Moyennement Claire
🙍🏽	Personne Fronçant Les Sourcils : Peau Légèrement Mate
🙍🏾	Personne Fronçant Les Sourcils : Peau Mate
🙍🏿	Personne Fronçant Les Sourcils : Peau Foncée
🙍‍♂️	Homme Fronçant Les Sourcils
🙍🏻‍♂️	Homme Fronçant Les Sourcils : Peau Claire
🙍🏼‍♂️	Homme Fronçant Les Sourcils : Peau Moyennement Claire
🙍🏽‍♂️	Homme Fronçant Les Sourcils : Peau Légèrement Mate
🙍🏾‍♂️	Homme Fronçant Les Sourcils : Peau Mate
🙍🏿‍♂️	Homme Fronçant Les Sourcils : Peau Foncée
🙍‍♀️	Femme Fronçant Les Sourcils
🙍🏻‍♀️	Femme Fronçant Les Sourcils : Peau Claire
🙍🏼‍♀️	Femme Fronçant Les Sourcils : Peau Moyennement Claire
🙍🏽‍♀️	Femme Fronçant Les Sourcils : Peau Légèrement Mate
🙍🏾‍♀️	Femme Fronçant Les Sourcils : Peau Mate
🙍🏿‍♀️	Femme Fronçant Les Sourcils : Peau Foncée
🙎	Personne Qui Boude
🙎🏻	Personne Qui Boude : Peau Claire
🙎🏼	Personne Qui Boude : Peau Moyennement Claire
🙎🏽	Personne Qui Boude : Peau Légèrement Mate
🙎🏾	Personne Qui Boude : Peau Mate
🙎🏿	Personne Qui Boude : Peau Foncée
🙎‍♂️	Homme Qui Boude
🙎🏻‍♂️	Homme Qui Boude : Peau Claire
🙎🏼‍♂️	Homme Qui Boude : Peau Moyennement Claire
🙎🏽‍♂️	Homme Qui Boude : Peau Légèrement Mate
🙎🏾‍♂️	Homme Qui Boude : Peau Mate
🙎🏿‍♂️	Homme Qui Boude : Peau Foncée
🙎‍♀️	Femme Qui Boude
🙎🏻‍♀️	Femme Qui Boude : Peau Claire
🙎🏼‍♀️	Femme Qui Boude : Peau Moyennement Claire
🙎🏽‍♀️	Femme Qui Boude : Peau Légèrement Mate
🙎🏾‍♀️	Femme Qui Boude : Peau Mate
🙎🏿‍♀️	Femme Qui Boude : Peau Foncée
🙅	Personne Faisant Un Geste D’interdiction
🙅🏻	Personne Faisant Un Geste D’interdiction : Peau Claire
🙅🏼	Personne Faisant Un Geste D’interdiction : Peau Moyennement Claire
🙅🏽	Personne Faisant Un Geste D’interdiction : Peau Légèrement Mate
🙅🏾	Personne Faisant Un Geste D’interdiction : Peau Mate
🙅🏿	Personne Faisant Un Geste D’interdiction : Peau Foncée
🙅‍♂️	Homme Faisant Un Geste D’interdiction
🙅🏻‍♂️	Homme Faisant Un Geste D’interdiction : Peau Claire
🙅🏼‍♂️	Homme Faisant Un Geste D’interdiction : Peau Moyennement Claire
🙅🏽‍♂️	Homme Faisant Un Geste D’interdiction : Peau Légèrement Mate
🙅🏾‍♂️	Homme Faisant Un Geste D’interdiction : Peau Mate
🙅🏿‍♂️	Homme Faisant Un Geste D’interdiction : Peau Foncée
🙅‍♀️	Femme Faisant Un Geste D’interdiction
